"Name","Family","Source","Rarity","Size","Type","Traits","Level","Spoilers?"
"<u><a href=""NPCs.aspx?ID=925"">Adept</a></u>","<u><a href=""MonsterFamilies.aspx?ID=191"">Mystics</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=1070"">Adhukait</a></u>","<u><a href=""MonsterFamilies.aspx?ID=218"">Asura</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=350"">Asura</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=1054"">Adlet</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=128"">Adult Black Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=165"">Dragon, Black</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=3"">Acid</a></u>, <u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=131"">Adult Blue Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=166"">Dragon, Blue</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=56"">Electricity</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=143"">Adult Brass Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=170"">Dragon, Brass</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=622"">Adult Brine Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=175"">Dragon, Brine</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=146"">Adult Bronze Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=171"">Dragon, Bronze</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=625"">Adult Cloud Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=176"">Dragon, Cloud</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=149"">Adult Copper Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=172"">Dragon, Copper</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=628"">Adult Crystal Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=177"">Dragon, Crystal</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=1123"">Adult Forest Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=227"">Dragon, Forest</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=125"">Plant</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=125"">Plant</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=152"">Adult Gold Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=173"">Dragon, Gold</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=134"">Adult Green Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=167"">Dragon, Green</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=632"">Adult Magma Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=178"">Dragon, Magma</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=137"">Adult Red Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=168"">Dragon, Red</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=1126"">Adult Sea Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=228"">Dragon, Sea</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=155"">Adult Silver Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=174"">Dragon, Silver</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=1129"">Adult Sky Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=229"">Dragon, Sky</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=56"">Electricity</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=1132"">Adult Sovereign Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=230"">Dragon, Sovereign</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=635"">Adult Umbral Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=179"">Dragon, Umbral</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=143"">Shadow</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=1135"">Adult Underworld Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=231"">Dragon, Underworld</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=140"">Adult White Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=169"">Dragon, White</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","10","—"
"<u><a href=""NPCs.aspx?ID=884"">Advisor</a></u>","<u><a href=""MonsterFamilies.aspx?ID=181"">Courtiers</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1118"">Aghash</a></u>","<u><a href=""MonsterFamilies.aspx?ID=225"">Div</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=351"">Div</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","4","—"
"<u><a href=""NPCs.aspx?ID=1450"">Agile Warrior</a></u>","—","<u><a href=""Sources.aspx?ID=85"" title=""Pathfinder #166: Despair on Danger Island"">Pathfinder #166</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","13","Pathfinder #166: Despair on Danger Island"
"<u><a href=""Monsters.aspx?ID=1018"">Agradaemon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=26"">Daemon</a></u>","<u><a href=""Sources.aspx?ID=54"" title=""Pathfinder #162: Ruins of the Radiant Siege"">Pathfinder #162</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=213"">Daemon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","19","—"
"<u><a href=""Monsters.aspx?ID=540"">Ahuizotl</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=20"">Beast</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=983"">Ahvothian</a></u>","—","<u><a href=""Sources.aspx?ID=41"" title=""The Slithering"">The Slithering</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=1425"">Aigamuxa</a></u>","—","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=79"">Giant</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=192"">Air Mephit</a></u>","<u><a href=""MonsterFamilies.aspx?ID=44"">Elemental, Mephit</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=1142"">Air Wisp</a></u>","<u><a href=""MonsterFamilies.aspx?ID=232"">Elemental, Wisp</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Tiny","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","0","—"
"<u><a href=""Monsters.aspx?ID=488"">Aiudara Wraith</a></u>","<u><a href=""MonsterFamilies.aspx?ID=164"">Wraith</a></u>","<u><a href=""Sources.aspx?ID=15"" title=""Pathfinder #150: Broken Promises"">Pathfinder #150</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=14"">Astral</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=14"">Astral</a></u>, <u><a href=""Traits.aspx?ID=222"">Incorporeal</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=260"">Wraith</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=541"">Akata</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","1","—"
"<u><a href=""NPCs.aspx?ID=1497"">Akila Stormheel </a></u>","—","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=87"">Halfling</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","13","Pathfinder #167: Ready? Fight!"
"<u><a href=""Monsters.aspx?ID=764"">Akizendri</a></u>","<u><a href=""MonsterFamilies.aspx?ID=82"">Protean</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>, <u><a href=""Traits.aspx?ID=231"">Protean</a></u>","3","—"
"<u><a href=""NPCs.aspx?ID=1531"">Alak Stagram</a></u>","—","<u><a href=""Sources.aspx?ID=4"" title=""Pathfinder #145: Hellknight Hill"">Pathfinder #145</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","2","Pathfinder #145: Hellknight Hill"
"<u><a href=""Monsters.aspx?ID=239"">Alchemical Golem</a></u>","<u><a href=""MonsterFamilies.aspx?ID=57"">Golem</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=6"">Alchemical</a></u>, <u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=220"">Golem</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=1420"">Algea</a></u>","<u><a href=""MonsterFamilies.aspx?ID=83"">Psychopomp</a></u>","<u><a href=""Sources.aspx?ID=88"" title=""Malevolence"">Malevolence</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>, <u><a href=""Traits.aspx?ID=232"">Psychopomp</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=2"">Alghollthu Master</a></u>","<u><a href=""MonsterFamilies.aspx?ID=1"">Alghollthu</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=476"">Aluum Enforcer</a></u>","<u><a href=""MonsterFamilies.aspx?ID=113"">Aluum</a></u>","<u><a href=""Sources.aspx?ID=14"" title=""Pathfinder #149: Against the Scarlet Triad"">Pathfinder #149</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=1059"">Amalgamite</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","13","—"
"<u><a href=""NPCs.aspx?ID=1502"">Amihan</a></u>","—","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","15","Pathfinder #167: Ready? Fight!"
